Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1773232314477,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,31.974945068359375,0,0,0,0,0,0,0,0,28836.91583251953,148240.06927490234,80691.29455566406,10684.935241699219,16919126016,28991029248,6747504640,0
197,1773232314481,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,100,100,100,100,100,100,100,100,100,100,100,28836.920959472656,148240.37432861328,80691.59545898438,10684.935241699219,16919126016,28991029248,6747373568,0
200,1773232314678,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.795707702636719,4.000457763671875,73.39945983886719,8.373062133789063,7.607200622558594,4.162513732910156,6.660972595214844,35.911827087402344,12.102561950683594,19.312576293945313,20.375900268554688,21.83123779296875,28837.09747314453,148252.18853759766,80703.01513671875,10684.935241699219,16919126016,28991029248,6796443648,0
200,1773232314878,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.2884674072265625,3.9652862548828125,52.424354553222656,19.9296875,4.604545593261719,10.2744140625,17.508651733398438,38.41972732543945,11.39056396484375,36.91152572631836,20.245697021484375,35.00727081298828,28837.310607910156,148266.2427368164,80716.7651977539,10684.935241699219,16919126016,28991029248,6825992192,0
200,1773232315079,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,5.7659912109375,1.7376785278320313,70.19163513183594,14.967941284179688,8.395416259765625,5.9144134521484375,21.974533081054688,29.124412536621094,17.142837524414063,25.779403686523438,18.072738647460938,24.82311248779297,28837.538696289063,148281.44891357422,80731.6513671875,10684.9375,16919126016,28991029248,6839771136,0
200,1773232315279,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,5.022621154785156,2.9891433715820313,64.38884735107422,3.5172500610351563,10.194229125976563,3.8737564086914063,4.196586608886719,30.457107543945313,8.316078186035156,10.467666625976563,20.467300415039063,19.39557647705078,28837.73077392578,148294.09857177734,80743.89288330078,10684.9375,16919126016,28991029248,6790320128,0
200,1773232315480,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.4658279418945313,3.5061187744140625,61.6444091796875,11.611824035644531,2.2049026489257813,4.75970458984375,10.7926025390625,46.51555252075195,17.747283935546875,29.42108917236328,14.923065185546875,35.809417724609375,28837.93701171875,148307.50665283203,80756.96228027344,10684.938415527344,16919126016,28991029248,6823018496,0
200,1773232315680,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.415077209472656,2.7250823974609375,55.060726165771484,21.290725708007813,9.05792236328125,4.029350280761719,18.30689239501953,32.60044860839844,18.27790069580078,26.982635498046875,34.16300964355469,18.950469970703125,28838.16326904297,148322.75860595703,80771.87268066406,10684.938415527344,16919126016,28991029248,6843801600,0
200,1773232315881,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,5.451416015625,2.85076904296875,70.41902923583984,4.855377197265625,4.952522277832031,1.8563232421875,10.321113586425781,28.56182861328125,6.809944152832031,16.109718322753906,13.698074340820313,17.210693359375,28838.351440429688,148335.07354736328,80783.87237548828,10684.938415527344,16919126016,28991029248,6790778880,0
200,1773232316081,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.6119384765625,3.9240493774414063,61.77748489379883,13.947532653808594,5.436256408691406,9.7125244140625,15.171455383300781,44.097198486328125,18.366836547851563,27.087989807128906,9.46343994140625,40.98012924194336,28838.56298828125,148348.6611328125,80797.103515625,10684.939453125,16919126016,28991029248,6824947712,0
