run_id,version,duration,energy,energy_delta,power,dram_energy,memory_mean,memory_median,memory_delta,cpu_usage_mean,cpu_usage_median
001,RF,6.409,409.91754150393535,358.10583401673716,63.959672570437725,6.43316650390625,7179.582261029412,7184.294921875,92.42578125,19.779779359406117,13.233497619628906
002,OR,6.412,413.5966796875,361.7607195676818,64.5035370691672,6.4078369140625,7186.860638786765,7192.81640625,93.6484375,17.607254869797647,12.86668586730957
003,RF,6.411,413.98687744137715,362.1590015324323,64.57446224323462,6.43572998046875,7187.39901194853,7192.392578125,97.87890625,18.23734479791978,11.497529983520508
004,OR,6.41,416.5173339843459,364.69754228627437,64.9793032736889,6.450439453125,7188.447610294118,7189.78515625,85.55859375,18.533682047152052,14.16099739074707
005,RF,6.41,416.89044189450215,365.0706501964306,65.03751043595977,6.387145996064646,7188.216796875,7190.888671875,96.83203125,22.394597296621285,14.390827178955078
006,OR,6.41,418.36395263674785,366.5441609386763,65.26738730682494,6.435546875,7184.020795036765,7187.24609375,92.6640625,18.418250841252945,13.93086051940918
007,RF,6.41,420.14630126953125,368.3265095714597,65.5454448158395,6.41571044921875,7186.277113970588,7189.3671875,91.54296875,20.274659764532952,14.226818084716797
008,OR,6.411,417.63153076168965,365.8036548527448,65.14296221520662,6.42572021484375,7180.673368566177,7185.142578125,97.0546875,22.49834378560384,15.024160385131836
009,RF,6.411,418.17669677734375,366.3488208683989,65.2279982494687,6.38031005859375,7186.249080882353,7190.02734375,93.125,22.38130901374069,14.029512405395508
010,OR,6.21,416.81500244137715,366.61205291797245,67.11996818701725,6.318359375,7190.183948863636,7194.14453125,94.90234375,18.16619500246915,13.740543365478516
011,RF,6.41,423.14581298828125,371.3260212902097,66.01338736166635,7.0172119140625,7197.536649816177,7200.134765625,122.28125,18.71294936946794,13.689390182495117
012,OR,6.409,413.4887695312209,361.6770620440227,64.51689335796863,6.3880615234375,7188.739085477941,7192.603515625,94.9609375,21.58002217610677,15.782711029052734
