run_id,version,duration,energy,energy_delta,power,dram_energy,memory_mean,memory_median,memory_delta,cpu_usage_mean,cpu_usage_median
001,RF,6.411,434.6604003906268,383.5594952870823,67.79915775863779,6.688537597652612,7646.471507352941,7650.08203125,99.27734375,20.58302606320849,14.929191589355469
002,RF,6.412,439.96099853515443,388.85212261502846,68.61525242282508,6.61309814453125,7657.111787683823,7659.73046875,107.73828125,23.265944480895996,15.547962188720703
003,RF,6.411,437.642578125,386.5416730214555,68.264323525971,6.63690185546875,7655.557674632353,7660.470703125,95.6484375,19.68159771900551,14.219772338867188
004,RF,6.409,434.5698242187482,383.48486074836654,67.80618258991234,6.65142822265625,7658.22403492647,7662.46484375,101.06640625,20.597659653308344,14.912528991699219
009,RF,6.409,436.7187500000018,385.6337865296202,68.1414807302234,6.689697265625,7671.537339154412,7676.25390625,100.08203125,18.52861328685985,13.206375122070312
010,RF,6.41,435.78564453125,384.6927102442869,67.98527995807332,6.6348876953125,7674.92830882353,7678.552734375,94.8203125,20.49132956710516,14.230012893676758
013,RF,6.409,437.85852050780886,386.7735570374272,68.31931978589623,6.61767578125,7713.249310661765,7714.328125,100.08984375,22.415860241534663,15.64493179321289
020,RF,6.411,437.1989135742151,386.0980084706706,68.19511988367105,6.6392822265625,7712.50333180147,7714.90234375,101.45703125,23.248949705385694,13.714387893676758
022,RF,6.41,437.7823486328125,386.6894143458494,68.29677825784906,6.6627197265625,7715.200482536765,7716.998046875,96.125,18.432188379998298,12.136663436889648
023,RF,6.41,437.7857666015625,386.6928323145994,68.29731148230304,6.66180419921875,7713.888327205882,7718.6328125,93.2109375,19.747958388983037,14.381841659545898
026,RF,6.411,438.3553466796875,387.254441576143,68.3755025237385,6.65863037109375,7728.831916360294,7733.07421875,90.59765625,20.650125419392303,14.860095977783203
028,RF,6.411,438.06658935546875,386.96568425192424,68.33046160590685,6.614257812496362,7718.906594669118,7724.4921875,97.9609375,20.264115754295798,14.663488388061523
031,RF,6.41,436.85961914062864,385.76668485366554,68.15282669900603,6.61163330078125,7722.87109375,7727.4140625,105.09375,23.21532241970885,15.292301177978516
033,RF,6.409,435.8419189453125,384.75695547493086,68.00466827044976,6.611083984375,7723.715877757353,7727.947265625,79.3828125,18.54418487174838,13.526281356811523
035,RF,6.411,439.16143798828125,388.06053288473674,68.5012381825427,6.63427734375,7722.39510569853,7726.0,96.03125,20.420732909557866,12.69101333618164
036,RF,6.409,437.382080078125,386.29711660774336,68.24498050836714,6.67791748046875,7719.776654411765,7721.892578125,92.15234375,19.668741759131937,13.238719940185547
037,RF,6.411,442.2105712890625,391.109666185518,68.97684780674817,6.667602539058862,7721.114545036765,7725.294921875,95.375,23.430510904274737,15.19615364074707
038,RF,6.41,435.03033447265625,383.93740018569315,67.8674468756094,6.6011962890625,7723.569623161765,7724.87890625,109.671875,19.156820082197,12.499650955200195
039,RF,6.41,437.6287841796875,386.5358498927244,68.27282124488104,6.6458740234375,7716.378791360294,7719.642578125,95.30078125,23.414245708315985,15.248964309692383
042,RF,6.411,440.7093505859375,389.608445482393,68.74268453999962,6.646728515625,7719.672564338235,7723.478515625,103.99609375,20.531129715489406,14.949701309204102
044,RF,6.409,438.5926513671875,387.50768789680586,68.43386665114488,6.639160156246362,7738.953354779412,7742.869140625,94.765625,23.339344333199893,16.121187210083008
046,RF,6.41,439.6062011718823,388.5132668849192,68.58131063523905,6.64849853515625,7724.645565257353,7732.193359375,94.203125,20.583761103012986,14.518352508544922
048,RF,6.411,437.85223388671875,386.75132878317424,68.29702603130849,6.68634033203125,7766.075712316177,7767.625,90.2109375,20.784747105018763,15.951187133789062
049,RF,6.409,441.76727294921875,390.6823094788371,68.92920470420015,6.65765380859375,7769.61856617647,7771.48828125,96.2890625,20.635805139354627,15.536966323852539
053,RF,6.411,440.4157714843677,389.3148663808232,68.69689151214597,6.647277832034888,7714.17911305147,7716.185546875,95.734375,20.479346901762717,13.616476058959961
055,RF,6.41,437.3045654296802,386.2116311427171,68.22224109667398,6.631103515621362,7718.051011029412,7722.904296875,93.28515625,18.53085240195779,13.535188674926758
056,RF,6.41,438.210693359375,387.1177590724119,68.36360270817083,6.688720703121362,7714.998276654412,7719.447265625,104.06640625,20.956954432468788,13.294469833374023
057,RF,6.41,437.321533203125,386.2285989161619,68.2248881752145,6.61859130859375,7712.746438419118,7716.28125,91.05078125,20.31015479330923,12.073442459106445
059,RF,6.41,435.7707519531177,384.6778176661546,67.98295662295128,6.601379394527612,7712.622702205882,7714.857421875,79.203125,19.039377979203767,14.215648651123047
060,RF,6.409,433.7879638671875,382.70300039680586,67.68418846422024,6.6126708984375,7716.810661764706,7720.4765625,94.15234375,23.248621463775635,16.369544982910156
