Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1773399141545,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0.54034423828125,9.719139099121094,0,0,0,3.7295455932617188,0,34.22019958496094,0,24.62322998046875,55.803409576416016,46216.02569580078,157149.32556152344,98374.34240722656,4332.844421386719,16919126016,28991029248,7398563840,0
199,1773399141545,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,78.1729507446289,0,5.405616760253906,0,0,4.5479583740234375,52.38020324707031,0,100,100,46216.02850341797,157149.47344970703,98374.46594238281,4332.844421386719,16919126016,28991029248,7398584320,0
200,1773399141746,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.8301544189453125,0.7031631469726563,68.00315856933594,4.317298889160156,13.131820678710938,0.2861175537109375,4.00640869140625,33.382057189941406,10.646957397460938,14.529716491699219,14.821556091308594,22.92784881591797,46216.227294921875,157161.93225097656,98386.55834960938,4332.844421386719,16919126016,28991029248,7448444928,0
200,1773399141946,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.6369094848632813,7.6538238525390625,41.830970764160156,30.809730529785156,3.6858062744140625,6.869163513183594,7.74615478515625,53.57942581176758,17.167572021484375,36.047523498535156,24.57231903076172,36.23870849609375,46216.451232910156,157174.60583496094,98398.92761230469,4332.847412109375,16919126016,28991029248,7480717312,0
199,1773399142147,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.8880767822265625,6.2755584716796875,47.746360778808594,24.374557495117188,8.070747375488281,3.6241607666015625,6.3524322509765625,45.594642639160156,17.746360778808594,27.786094665527344,22.544288635253906,35.610267639160156,46216.66979980469,157188.07196044922,98412.00805664063,4332.847412109375,16919126016,28991029248,7488040960,0
200,1773399142347,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.418800354003906,13.703376770019531,38.09043502807617,38.769126892089844,16.69549560546875,14.035026550292969,7.9104461669921875,51.47165298461914,14.311973571777344,43.720985412597656,16.17053985595703,49.99165725708008,46216.885498046875,157200.56274414063,98424.10827636719,4332.849182128906,16919126016,28991029248,7507312640,0
199,1773399142547,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,5.537086486816406,0.8944931030273438,56.356788635253906,5.843711853027344,13.030693054199219,0.41545867919921875,5.0409698486328125,27.4947509765625,6.455955505371094,11.636032104492188,16.93647003173828,13.187522888183594,46217.07751464844,157211.98065185547,98435.216796875,4332.849182128906,16919126016,28991029248,7441022976,0
200,1773399142747,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.8395767211914063,4.354972839355469,37.48930740356445,32.15228271484375,5.2328948974609375,6.061897277832031,11.461189270019531,49.55984115600586,20.412277221679688,30.128517150878906,22.781761169433594,37.44608688354492,46217.29412841797,157225.14031982422,98448.05303955078,4332.849182128906,16919126016,28991029248,7471001600,0
200,1773399142948,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.0448837280273438,4.748847961425781,51.12858581542969,32.59083557128906,5.06048583984375,8.124794006347656,4.156150817871094,47.500518798828125,17.422012329101563,30.10614776611328,24.156845092773438,33.626548767089844,46217.52716064453,157239.09210205078,98461.6050415039,4332.8505859375,16919126016,28991029248,7493263360,0
200,1773399143148,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.324668884277344,16.952659606933594,34.098663330078125,47.614994049072266,18.367149353027344,13.474578857421875,3.9834365844726563,57.77370071411133,19.657981872558594,43.29770278930664,22.85004425048828,46.58224868774414,46217.75360107422,157252.72680664063,98474.91387939453,4332.8505859375,16919126016,28991029248,7508697088,0
