Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1773399027861,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,56.33305740356445,25.715469360351563,0,0,0,0.551422119140625,38.0052375793457,0,0,0,46114.43640136719,152716.5394897461,94078.37823486328,4332.216552734375,16919126016,28991029248,7439249408,0
199,1773399027862,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,37.795352935791016,20.158180236816406,35.30894470214844,100,29.728126525878906,21.122093200683594,100,20.83539581298828,55.427581787109375,29.63420867919922,85.83292388916016,17.577857971191406,46114.43963623047,152716.72149658203,94078.53411865234,4332.216552734375,16919126016,28991029248,7439273984,0
200,1773399028061,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.6325531005859375,0.7991409301757813,53.842750549316406,6.3160858154296875,15.841751098632813,0.643890380859375,4.5553436279296875,34.79717254638672,10.746498107910156,12.95654296875,26.654556274414063,15.254737854003906,46114.63122558594,152728.37908935547,94089.90740966797,4332.216552734375,16919126016,28991029248,7490797568,0
200,1773399028262,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.625892639160156,5.700386047363281,45.01005935668945,31.171554565429688,5.12408447265625,7.558929443359375,10.082138061523438,47.80977249145508,13.745208740234375,33.48706817626953,24.65277099609375,34.04261016845703,46114.84991455078,152741.35473632813,94102.51879882813,4332.216552734375,16919126016,28991029248,7526522880,0
200,1773399028462,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.484100341796875,4.931205749511719,49.415740966796875,33.574562072753906,8.789192199707031,5.239021301269531,3.454010009765625,48.59758758544922,17.400718688964844,32.55110168457031,27.43658447265625,31.12311553955078,46115.08026123047,152754.92266845703,94115.72564697266,4332.218078613281,16919126016,28991029248,7527182336,0
200,1773399028663,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.323570251464844,17.81481170654297,37.191104888916016,39.31418991088867,22.70197296142578,15.458656311035156,9.683509826660156,50.960182189941406,6.248268127441406,56.30805969238281,21.427650451660156,47.75138473510742,46115.318603515625,152767.82446289063,94128.29064941406,4332.218078613281,16919126016,28991029248,7541866496,0
200,1773399028863,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.5906753540039063,2.995086669921875,54.70404052734375,7.964103698730469,7.9730377197265625,0.30096435546875,3.7581939697265625,33.296356201171875,8.991943359375,9.815681457519531,23.3997802734375,9.823417663574219,46115.510986328125,152778.37591552734,94138.47912597656,4332.218078613281,16919126016,28991029248,7474810880,0
199,1773399029063,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.6494674682617188,3.4070281982421875,48.752288818359375,24.305084228515625,9.593070983886719,5.436851501464844,11.691429138183594,45.42616653442383,13.805801391601563,39.19418716430664,15.012062072753906,35.3677978515625,46115.724060058594,152790.97033691406,94150.74816894531,4332.2198486328125,16919126016,28991029248,7504355328,0
200,1773399029264,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.7321395874023438,5.370277404785156,54.262447357177734,26.670494079589844,6.957000732421875,6.0027618408203125,5.455780029296875,47.42082595825195,13.069450378417969,33.046234130859375,22.2867431640625,33.56458282470703,46115.951232910156,152805.30987548828,94164.76013183594,4332.2198486328125,16919126016,28991029248,7527456768,0
199,1773399029464,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,17.249618530273438,11.15496826171875,34.8798828125,44.85319137573242,16.687713623046875,10.710990905761719,7.682456970214844,56.42942810058594,17.68785858154297,48.88336944580078,12.280479431152344,54.065860748291016,46116.176818847656,152819.1279296875,94178.16760253906,4332.221252441406,16919126016,28991029248,7541719040,0
