Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779224798726,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,0,0,0,60.18704605102539,59.04801940917969,0,0,0,0,22949.84375,88700.37609863281,63368.32775878906,1396.65576171875,16919126016,22548578304,7087349760,0
196,1779224798730,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,35.153053283691406,2.973876953125,40.25077438354492,0,31.528564453125,74.06770324707031,30.197425842285156,0,80.49406433105469,19.05474090576172,22949.84893798828,88700.67700195313,63368.625427246094,1396.65576171875,16919126016,22548578304,7088050176,0
200,1779224798926,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.1176834106445313,0.21479034423828125,50.576202392578125,13.977241516113281,2.7985610961914063,0.23070526123046875,4.1157379150390625,36.04975509643555,11.621536254882813,15.742912292480469,29.184471130371094,16.699539184570313,22950.02471923828,88711.0922241211,63378.706481933594,1396.65576171875,16919126016,22548578304,7139319808,0
200,1779224799127,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.0380477905273438,7.579475402832031,26.888961791992188,39.34479522705078,8.213348388671875,9.180305480957031,16.79730987548828,38.42884063720703,20.423789978027344,43.98041534423828,31.19390869140625,43.42521667480469,22950.26251220703,88724.87615966797,63392.16027832031,1396.6578979492188,16919126016,22548578304,7184052224,0
200,1779224799327,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.2370681762695313,3.291351318359375,44.761512756347656,17.381752014160156,10.507713317871094,3.7315902709960938,2.5155258178710938,42.78483581542969,5.72064208984375,32.159751892089844,12.950630187988281,33.796241760253906,22950.460693359375,88736.39587402344,63403.42755126953,1396.6578979492188,16919126016,22548578304,7184797696,0
200,1779224799527,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,7.430549621582031,2.1514129638671875,33.93565368652344,12.701690673828125,5.740959167480469,1.6930923461914063,5.378517150878906,39.63359069824219,10.752082824707031,18.235496520996094,22.218154907226563,13.731758117675781,22950.644958496094,88746.41662597656,63413.092834472656,1396.6578979492188,16919126016,22548578304,7136559104,0
200,1779224799728,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,6.153648376464844,3.6912460327148438,50.012325286865234,24.354293823242188,6.6488800048828125,7.676612854003906,26.328536987304688,32.89923858642578,29.631324768066406,28.2352294921875,26.238784790039063,39.91926574707031,22950.869201660156,88759.52996826172,63425.9208984375,1396.6590576171875,16919126016,22548578304,7175815168,0
200,1779224799928,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.1334686279296875,3.0173568725585938,32.4991455078125,23.21771240234375,12.420265197753906,2.8319549560546875,18.72496795654297,35.57783508300781,26.801353454589844,23.02796173095703,32.151893615722656,18.453819274902344,22951.080200195313,88772.12780761719,63438.14727783203,1396.6590576171875,16919126016,22548578304,7182540800,0
200,1779224800128,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.575775146484375,6.266304016113281,38.834041595458984,12.209663391113281,4.1525726318359375,4.909576416015625,6.728034973144531,36.00897216796875,8.739799499511719,16.560928344726563,12.430885314941406,23.055946350097656,22951.270568847656,88781.62158203125,63447.316345214844,1396.6599731445313,16919126016,22548578304,7136690176,0
200,1779224800329,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,9.859344482421875,7.352569580078125,61.552162170410156,14.835426330566406,4.19293212890625,5.238006591796875,29.09259796142578,31.00934600830078,27.022354125976563,30.67450714111328,22.83575439453125,35.54290008544922,22951.486694335938,88794.94567871094,63460.34228515625,1396.6599731445313,16919126016,22548578304,7174041600,0
200,1779224800529,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.509590148925781,3.1882400512695313,59.23038864135742,12.472518920898438,7.5066375732421875,1.4129486083984375,16.158782958984375,28.995147705078125,26.9400634765625,14.957412719726563,28.74493408203125,16.634811401367188,22951.695068359375,88807.91662597656,63472.95495605469,1396.6599731445313,16919126016,22548578304,7186972672,0
200,1779224800729,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.388862609863281,1.7853240966796875,49.360145568847656,10.79278564453125,4.66107177734375,3.4945297241210938,9.253005981445313,38.79374313354492,11.752464294433594,14.629653930664063,20.57946014404297,19.083908081054688,22951.887573242188,88818.2671508789,63483.020568847656,1396.6610717773438,16919126016,22548578304,7139352576,0
200,1779224800930,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,6.8946685791015625,4.405632019042969,55.72337341308594,17.789390563964844,6.553413391113281,8.00885009765625,27.692184448242188,37.00273132324219,21.637908935546875,36.07252502441406,31.686553955078125,29.678543090820313,22952.116821289063,88831.95935058594,63496.33477783203,1396.6610717773438,16919126016,22548578304,7182663680,0
