run_id,version,duration,energy,energy_delta,power,dram_energy,memory_mean,memory_median,memory_delta,cpu_usage_mean,cpu_usage_median
001,OR,10.618,615.0746459960938,414.1048681236533,57.92754247467449,10.72027587890625,6053.317542613637,6061.26171875,132.9140625,19.390751139322916,15.410015106201172
006,OR,10.617,614.549560546875,413.5987099467902,57.88354154157248,10.841674804683862,6008.692684659091,6015.39453125,138.375,19.6668927972967,12.752185821533203
007,OR,10.615,609.7930908203125,408.8800947649391,57.44635806126354,10.68719482421875,5995.874573863636,6004.05078125,141.30078125,19.68204476905592,13.527706146240234
008,OR,10.617,608.3145141601562,407.3636635600715,57.296271466530676,10.704284667965112,5981.180539772728,5990.265625,142.31640625,19.95740535042503,15.18825912475586
009,OR,10.617,616.878051757798,415.92720115771317,58.102858788527634,10.68316650390625,5973.0671875,5979.9296875,137.20703125,19.619559796651203,15.314048767089844
015,OR,10.617,608.5667114257812,407.6158608256965,57.32002556520497,10.704223632808862,5955.207173295455,5965.26953125,133.41015625,19.624975106210417,14.777153015136719
017,OR,10.618,608.9686889648583,407.99891109241787,57.35248530465797,10.70245361328125,5954.223863636364,5959.98828125,139.7890625,19.533829689025875,14.128414154052734
018,OR,10.616,611.758056640625,410.82613331289593,57.62604150721788,10.691467285159888,5947.710014204546,5955.64453125,131.74609375,19.698300390532527,16.268505096435547
019,OR,10.618,614.6329345703125,413.66315669787207,57.88594222737921,10.71380615234375,5960.005539772727,5965.19921875,142.67578125,19.53276418628115,16.92424774169922
020,OR,10.817,618.3583984375,413.62209336628246,57.1654246498567,11.266784667972388,5963.012974330357,5969.662109375,149.34765625,20.65952459403447,15.518901824951172
023,OR,10.616,614.9960327148583,414.06410938712924,57.9310505571645,10.719055175784888,5968.646519886363,5972.2890625,140.8125,19.544669249563505,17.74492645263672
024,OR,10.618,605.8956909179688,404.9259130455283,57.06307128630333,10.7098388671875,5957.893821022727,5963.00390625,144.16015625,19.320580072113962,13.999340057373047
027,OR,10.614,601.984130859375,401.09006207635724,56.71604775385104,10.6943359375,5958.845241477273,5963.1953125,143.85546875,19.46163572253603,14.294807434082031
028,OR,10.617,602.9618530273438,402.011002427259,56.79211199277985,10.70123291015625,5959.971164772727,5965.890625,143.0546875,19.29152977105343,15.052749633789062
029,OR,10.619,608.110229492173,407.12152434737686,57.26624253622497,10.730957031253638,5960.636860795455,5967.65234375,142.53515625,19.57854513688521,13.234821319580078
030,OR,10.818,609.4226074218896,404.66737507831635,56.33412899074594,10.859619140625,5957.281110491072,5965.99609375,147.2265625,19.25651440733955,16.542274475097656
032,OR,10.617,619.1314086914062,418.1805580913215,58.315099245682035,10.676879882808862,5957.33671875,5966.99609375,143.41015625,19.362987217758644,14.13808822631836
035,OR,10.616,604.7141723632812,403.7822490355522,56.96252565592325,10.709716796875,5946.511079545455,5955.703125,145.55859375,19.52961728067109,14.638248443603516
036,OR,10.618,601.8538208007812,400.8840429283408,56.6824091920118,10.723876953121362,5931.355113636364,5937.1015625,143.296875,19.449810629179982,15.55514907836914
040,OR,10.618,604.4515991211083,403.48182124866787,56.92706716152838,10.72296142578125,5927.290340909091,5933.84375,141.62109375,19.88836851986972,16.360126495361328
041,OR,10.619,611.594848632798,410.60614348800186,57.59439199856841,10.745056152347388,5928.435440340909,5934.2109375,145.22265625,19.796760749816897,13.728378295898438
042,OR,10.615,603.0966796875291,402.1836836321557,56.81551386599426,10.68658447265625,5936.909303977272,5944.125,145.54296875,19.753482437133787,15.514945983886719
044,OR,10.617,605.1008911132812,404.1500405131965,56.9935849216616,10.7469482421875,5931.378480113636,5938.06640625,135.796875,19.63474198543664,16.47530746459961
047,OR,10.616,611.5953369140625,410.66341358633343,57.610713725891344,10.687072753909888,5937.065340909091,5944.01171875,137.37890625,19.41703610853715,15.551544189453125
048,OR,10.616,614.0020751953125,413.07015186758343,57.83742230551173,10.7332763671875,5942.792045454546,5951.36328125,145.4453125,19.48792161652536,16.144569396972656
049,OR,11.018,612.304809570298,403.7641227555919,55.57313573881811,11.534240722652612,5995.835457785088,6005.421875,141.2265625,21.603363778856064,15.691886901855469
052,OR,10.617,603.9837646484375,403.0329140483527,56.88836438244678,10.75738525390625,5965.373863636363,5973.640625,140.66015625,19.54761839201956,16.418258666992188
054,OR,10.618,604.885131835923,403.9153539634825,56.96789714032049,10.723266601558862,5951.743678977273,5959.55078125,142.515625,19.27586464737401,12.315670013427734
056,OR,10.618,605.2821655273438,404.3123876549033,57.00528965222676,10.7393798828125,5950.269744318181,5957.421875,146.09765625,19.538774132006097,14.66311264038086
060,OR,10.617,609.3064575195312,408.3556069194465,57.38970118861554,10.736511230476026,5953.582386363636,5961.31640625,139.046875,19.953608374162155,16.544967651367188
