Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772477633736,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,19.71839141845703,0,0,0,0,0,0,0,0,24122.85711669922,20827.504821777344,252013.10089111328,1274.3384399414063,16919126016,28991029248,5179723776,0
199,1772477633737,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,100,100,100,100,100,100,100,100,100,100,100,24122.860595703125,20827.68914794922,252013.2691040039,1274.3384399414063,16919126016,28991029248,5179809792,0
200,1772477633937,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.7103271484375,3.5120925903320313,80.07853698730469,7.533233642578125,7.418373107910156,3.3942184448242188,6.598228454589844,37.94062423706055,15.378196716308594,13.16668701171875,14.218345642089844,24.25861358642578,24123.054626464844,20839.885375976563,252025.16571044922,1274.3413696289063,16919126016,28991029248,5226647552,0
200,1772477634137,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.1290054321289063,3.58355712890625,43.61943435668945,25.08263397216797,7.180229187011719,6.575309753417969,17.486465454101563,39.40756607055664,17.16083526611328,31.21302032470703,21.634231567382813,33.83125305175781,24123.275329589844,20853.934631347656,252038.82684326172,1274.3413696289063,16919126016,28991029248,5258604544,0
199,1772477634337,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.6057586669921875,4.175506591796875,64.53302001953125,17.846359252929688,5.480506896972656,6.610359191894531,17.78143310546875,39.26961898803711,21.390243530273438,16.978256225585938,24.391395568847656,24.471054077148438,24123.513916015625,20868.36279296875,252052.89416503906,1274.3413696289063,16919126016,28991029248,5267181568,0
200,1772477634537,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.7082977294921875,1.682952880859375,57.35786819458008,10.137535095214844,7.9863128662109375,0.5508956909179688,2.6392288208007813,28.291015625,8.759201049804688,7.4880218505859375,23.681900024414063,19.219398498535156,24123.705078125,20879.788024902344,252064.01251220703,1274.3428955078125,16919126016,28991029248,5222617088,0
199,1772477634738,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.7400970458984375,4.412834167480469,49.109718322753906,25.790557861328125,5.1412353515625,7.530036926269531,8.454765319824219,45.46213912963867,15.580024719238281,30.516441345214844,22.423362731933594,33.08930206298828,24123.92205810547,20893.82275390625,252077.74731445313,1274.3428955078125,16919126016,28991029248,5259517952,0
200,1772477634938,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.48382568359375,2.4076385498046875,55.9022331237793,26.20073699951172,4.8311767578125,5.9360504150390625,8.657562255859375,42.65433120727539,12.070304870605469,30.14068603515625,21.969802856445313,31.055809020996094,24124.162170410156,20908.238830566406,252091.77410888672,1274.3446044921875,16919126016,28991029248,5267259392,0
200,1772477635138,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.7271728515625,1.4246978759765625,60.854488372802734,7.7551727294921875,5.584007263183594,3.52716064453125,4.1623077392578125,27.063194274902344,7.984809875488281,9.062751770019531,18.320419311523438,15.995506286621094,24124.35516357422,20919.143981933594,252102.27026367188,1274.3446044921875,16919126016,28991029248,5217619968,0
200,1772477635338,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.7091064453125,4.745231628417969,53.066993713378906,22.8792724609375,4.458946228027344,5.707000732421875,7.3335113525390625,51.05967712402344,11.130058288574219,28.79412078857422,22.32062530517578,35.279457092285156,24124.56170654297,20933.13446044922,252115.94787597656,1274.3446044921875,16919126016,28991029248,5244821504,0
200,1772477635539,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.89453125,2.7245101928710938,53.48113250732422,28.64293670654297,5.1665191650390625,7.308807373046875,4.4864044189453125,45.1405143737793,12.990715026855469,34.372161865234375,24.78333282470703,28.022972106933594,24124.80352783203,20948.015197753906,252130.49835205078,1274.34619140625,16919126016,28991029248,5270466560,0
200,1772477635739,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.688201904296875,1.5621566772460938,62.11415100097656,4.695793151855469,9.062400817871094,0.91265869140625,3.9587783813476563,26.23675537109375,12.345832824707031,10.762771606445313,11.214515686035156,17.976898193359375,24124.99786376953,20959.108825683594,252141.22662353516,1274.34619140625,16919126016,28991029248,5215793152,0
200,1772477635940,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.8039703369140625,5.372276306152344,58.619964599609375,12.04052734375,2.96832275390625,6.054405212402344,9.522003173828125,47.36540985107422,6.7763824462890625,35.785301208496094,23.171234130859375,35.88331604003906,24125.205810546875,20972.6787109375,252154.49731445313,1274.3469848632813,16919126016,28991029248,5247086592,0
200,1772477636140,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.2115936279296875,3.5969772338867188,60.11470031738281,25.012100219726563,7.9532318115234375,7.137260437011719,5.320838928222656,44.54511642456055,12.105628967285156,33.396522521972656,18.091384887695313,41.12062454223633,24125.45458984375,20988.031127929688,252169.46954345703,1274.3478393554688,16919126016,28991029248,5268828160,0
200,1772477636340,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.0977630615234375,1.5928955078125,64.59930419921875,3.7551727294921875,3.92626953125,3.0764389038085938,6.602424621582031,24.387451171875,11.095733642578125,12.580070495605469,12.312232971191406,16.08600616455078,24125.649536132813,20999.01934814453,252180.0802001953,1274.3478393554688,16919126016,28991029248,5215223808,0
200,1772477636541,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.058685302734375,1.9666671752929688,51.108760833740234,19.306495666503906,5.9038848876953125,4.892005920410156,9.491584777832031,42.55828857421875,12.690444946289063,24.731163024902344,24.64093780517578,22.283035278320313,24125.84307861328,21012.037719726563,252192.81939697266,1274.3494873046875,16919126016,28991029248,5241483264,0
