FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestPeriod_Constructors.java,TestPeriod_Constructors.java,TestPeriod_Constructors,6,112,976,108,0,108,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestSeconds.java,TestSeconds.java,TestSeconds,6,31,157,27,0,27,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestSerialization.java,TestSerialization.java,TestSerialization,18,33,111,27,0,27,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestStringConvert.java,TestStringConvert.java,TestStringConvert,4,24,82,20,0,20,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestTimeOfDay_Basics.java,TestTimeOfDay_Basics.java,MockInstant,14,60,367,52,0,52,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestTimeOfDay_Constructors.java,TestTimeOfDay_Constructors.java,TestTimeOfDay_Constructors,9,50,308,46,0,46,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestTimeOfDay_Properties.java,TestTimeOfDay_Properties.java,TestTimeOfDay_Properties,3,39,398,34,0,34,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestWeeks.java,TestWeeks.java,TestWeeks,6,31,163,27,0,27,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestYearMonthDay_Basics.java,TestYearMonthDay_Basics.java,MockInstant,14,70,404,62,0,62,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestYearMonthDay_Constructors.java,TestYearMonthDay_Constructors.java,TestYearMonthDay_Constructors,7,34,170,30,0,30,true,true,false,true,false,false,false,false,false,false
