Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1773236520820,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,9.882804870605469,0,0,0,90.0491714477539,40.93840026855469,0,0,0,0,32265.90283203125,21226.97821044922,211545.0679321289,10703.461303710938,16919126016,28991029248,7000186880,0
197,1773236520824,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,23.19696044921875,18.276878356933594,96.27862548828125,40.96493148803711,20.83531951904297,18.11187744140625,44.34836196899414,81.5780029296875,80.9219970703125,17.85742950439453,63.1480598449707,17.68248748779297,32265.909301757813,21227.352416992188,211545.36920166016,10703.461303710938,16919126016,28991029248,7000125440,0
200,1773236521021,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.136810302734375,1.9671707153320313,77.90851593017578,7.207878112792969,5.155815124511719,2.6113662719726563,4.9891815185546875,36.300048828125,12.462860107421875,13.4322509765625,9.450721740722656,18.593475341796875,32266.087646484375,21239.084533691406,211556.77282714844,10703.462646484375,16919126016,28991029248,7046332416,0
200,1773236521221,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.5123367309570313,4.617820739746094,46.245941162109375,22.210914611816406,6.669227600097656,5.635856628417969,27.98790740966797,37.88035202026367,16.124221801757813,30.311058044433594,30.565765380859375,26.22197723388672,32266.30389404297,21253.15167236328,211570.50390625,10703.462646484375,16919126016,28991029248,7075020800,0
200,1773236521422,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,6.11407470703125,2.3885345458984375,68.96266174316406,10.701484680175781,8.741554260253906,2.7560882568359375,20.60570526123047,32.331512451171875,21.96942138671875,23.27696990966797,21.50531768798828,18.6656494140625,32266.524780273438,21267.945678710938,211584.96606445313,10703.462646484375,16919126016,28991029248,7087415296,0
200,1773236521622,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.9889755249023438,1.9610366821289063,63.52009582519531,4.152702331542969,6.786140441894531,2.0623092651367188,4.435691833496094,25.27910614013672,7.814971923828125,14.204612731933594,10.977668762207031,15.806564331054688,32266.70965576172,21278.833068847656,211595.50482177734,10703.463745117188,16919126016,28991029248,7035596800,0
200,1773236521822,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.8424224853515625,3.17083740234375,52.736366271972656,21.962921142578125,1.778289794921875,5.6915740966796875,10.148475646972656,43.908287048339844,11.742050170898438,30.790008544921875,17.931686401367188,33.20262145996094,32266.905334472656,21292.784423828125,211609.1029663086,10703.463745117188,16919126016,28991029248,7066529792,0
199,1773236522022,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.2809219360351563,3.7730331420898438,53.894779205322266,23.338043212890625,4.007286071777344,7.543266296386719,4.539283752441406,45.7409782409668,17.89141845703125,38.31846237182617,22.78211212158203,34.74641418457031,32267.14239501953,21307.942260742188,211623.89379882813,10703.463745117188,16919126016,28991029248,7090282496,0
200,1773236522222,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.2391891479492188,2.7655563354492188,58.394344329833984,8.46783447265625,6.066917419433594,3.2906646728515625,4.862007141113281,27.531448364257813,6.615821838378906,19.988746643066406,23.555686950683594,16.422752380371094,32267.343811035156,21319.718627929688,211635.32501220703,10703.466491699219,16919126016,28991029248,7034449920,0
199,1773236522423,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.3618621826171875,2.67236328125,60.70255661010742,9.539039611816406,6.1125946044921875,2.1401748657226563,9.700119018554688,39.163795471191406,12.496742248535156,23.834808349609375,7.934562683105469,33.11864471435547,32267.529663085938,21332.786987304688,211648.00457763672,10703.466491699219,16919126016,28991029248,7060025344,0
