Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1776444160729,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,0,0,0,0,0,0,0,0,0,19869.13494873047,19501.93475341797,248790.78424072266,1878.0499267578125,16919126016,26843545600,8026619904,0
199,1776444160729,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,100,100,100,100,100,100,100,100,100,100,100,19869.13787841797,19502.093017578125,248790.92712402344,1878.0499267578125,16919126016,26843545600,8026632192,0
200,1776444160929,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,5.878273010253906,6.039573669433594,72.07298278808594,9.812347412109375,13.197090148925781,6.006019592285156,10.039413452148438,37.52812194824219,10.533905029296875,15.58953857421875,22.392959594726563,19.537628173828125,19869.317138671875,19514.455078125,248802.76458740234,1878.0499267578125,16919126016,26843545600,8076361728,0
200,1776444161130,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.2775955200195313,4.222633361816406,40.35014724731445,31.825119018554688,5.785865783691406,9.637725830078125,11.327674865722656,48.95393753051758,22.746688842773438,28.75395965576172,21.756423950195313,44.37588882446289,19869.53955078125,19528.848876953125,248816.70599365234,1878.0521240234375,16919126016,26843545600,8114999296,0
200,1776444161330,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,6.0245819091796875,4.182640075683594,52.362701416015625,20.689056396484375,5.3577728271484375,7.816078186035156,3.717315673828125,41.66017150878906,10.930503845214844,25.457962036132813,29.230262756347656,21.629135131835938,19869.761108398438,19543.619079589844,248830.90350341797,1878.0521240234375,16919126016,26843545600,8117014528,0
199,1776444161531,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,5.09259033203125,2.0461807250976563,63.296722412109375,3.8185348510742188,8.720428466796875,3.375,5.6884765625,26.543678283691406,6.0575103759765625,11.012809753417969,17.153160095214844,15.8115234375,19869.952758789063,19554.15655517578,248840.93951416016,1878.0521240234375,16919126016,26843545600,8068882432,0
200,1776444161731,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.2481689453125,2.4534530639648438,51.00312805175781,21.85608673095703,10.176773071289063,3.4156570434570313,8.677474975585938,49.16645812988281,18.606063842773438,27.482955932617188,10.216995239257813,45.658714294433594,19870.15850830078,19568.165466308594,248854.4555053711,1878.0531616210938,16919126016,26843545600,8099274752,0
200,1776444161931,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.9810409545898438,2.8012313842773438,55.56346893310547,20.000648498535156,13.962257385253906,2.7170944213867188,5.390724182128906,40.836910247802734,8.529067993164063,35.78010559082031,18.737197875976563,25.67742919921875,19870.375427246094,19583.447814941406,248869.25128173828,1878.0531616210938,16919126016,26843545600,8115994624,0
200,1776444162132,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.5997772216796875,3.4055938720703125,55.58563232421875,8.122352600097656,10.202766418457031,1.9999923706054688,11.092391967773438,23.277198791503906,18.938873291015625,14.438323974609375,17.35882568359375,17.025482177734375,19870.56817626953,19595.140258789063,248880.45166015625,1878.0542602539063,16919126016,26843545600,8064188416,0
200,1776444162332,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.8517990112304688,3.8527755737304688,47.92070388793945,20.423370361328125,4.655891418457031,5.3613739013671875,7.9683837890625,49.82033920288086,21.43750762939453,21.26483154296875,19.70721435546875,35.47484588623047,19870.772888183594,19608.932861328125,248893.71826171875,1878.0542602539063,16919126016,26843545600,8092954624,0
