Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772634591033,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,0,0,0,45.90369415283203,0,0,0,0,0,15839.824645996094,24169.2265625,3961.1514892578125,620.3197631835938,16919126016,28991029248,5551165440,0
197,1772634591036,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,100,100,100,100,100,100,100,100,100,100,100,15839.829711914063,24169.51123046875,3961.43212890625,620.3197631835938,16919126016,28991029248,5551120384,0
200,1772634591233,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.4554901123046875,3.76123046875,68.21853637695313,9.475471496582031,9.574455261230469,3.5991058349609375,8.642906188964844,36.887088775634766,15.542938232421875,14.460739135742188,17.706214904785156,21.02130889892578,15840.005676269531,24181.47967529297,3972.9959716796875,620.3197631835938,16919126016,28991029248,5599064064,0
200,1772634591434,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,5.0843353271484375,4.4089202880859375,42.87016677856445,26.904586791992188,3.4365234375,10.012748718261719,16.120155334472656,39.693111419677734,19.271926879882813,31.04889678955078,28.20598602294922,28.58965301513672,15840.226440429688,24195.35223388672,3986.5878295898438,620.3209228515625,16919126016,28991029248,5633429504,0
200,1772634591634,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.8367080688476563,3.9056854248046875,61.141204833984375,9.829490661621094,5.516334533691406,2.998016357421875,20.962623596191406,25.863441467285156,20.63726806640625,18.8138427734375,16.39794158935547,27.264556884765625,15840.442749023438,24208.701049804688,3999.561767578125,620.3209228515625,16919126016,28991029248,5642625024,0
200,1772634591834,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.55804443359375,2.2405319213867188,69.05735778808594,6.012321472167969,5.488319396972656,1.6842575073242188,6.261604309082031,37.94145965576172,7.507057189941406,11.6053466796875,19.14049530029297,18.900344848632813,15840.632019042969,24219.912170410156,4010.4176025390625,620.3209228515625,16919126016,28991029248,5599338496,0
200,1772634592035,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,6.901374816894531,3.6301116943359375,51.238555908203125,22.75202178955078,2.0559310913085938,7.118743896484375,8.104484558105469,44.892024993896484,12.183540344238281,38.109806060791016,17.96710968017578,36.90400314331055,15840.8486328125,24234.195190429688,4024.4246826171875,620.3221435546875,16919126016,28991029248,5638250496,0
200,1772634592235,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.6122360229492188,2.8449478149414063,51.99400329589844,14.136734008789063,2.4929122924804688,3.841522216796875,4.73931884765625,38.25106430053711,11.334892272949219,28.517684936523438,14.429290771484375,28.432220458984375,15841.05810546875,24246.77362060547,4036.5953369140625,620.3221435546875,16919126016,28991029248,5647577088,0
200,1772634592436,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.9676055908203125,2.3687896728515625,75.72523498535156,2.5439453125,6.492042541503906,3.5337142944335938,4.4945526123046875,34.51665496826172,3.0420761108398438,16.772659301757813,15.982582092285156,15.869491577148438,15841.249694824219,24258.872985839844,4048.3845825195313,620.3233032226563,16919126016,28991029248,5595230208,0
200,1772634592636,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.03741455078125,4.52801513671875,40.88606262207031,31.559852600097656,5.48443603515625,8.797378540039063,9.052032470703125,42.43741989135742,17.789398193359375,36.16130447387695,22.756439208984375,32.897735595703125,15841.461181640625,24273.446716308594,4062.6109008789063,620.3233032226563,16919126016,28991029248,5631991808,0
