Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1776037436762,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,0,0,0,0,47.867977142333984,0,0,0,0,152271.1162109375,15345.489196777344,198953.08099365234,12954.199279785156,16919126016,26843545600,7120601088,0
197,1776037436766,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,9.785636901855469,7.939033508300781,85.73368835449219,7.642005920410156,9.755706787109375,12.907829284667969,90.46073150634766,84.69065856933594,19.605812072753906,16.12212371826172,47.28189468383789,27.210975646972656,152271.12133789063,15345.774841308594,198953.35430908203,12954.199279785156,16919126016,26843545600,7121375232,0
200,1776037436963,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.968505859375,1.6155319213867188,71.43257904052734,4.9626617431640625,10.457420349121094,1.6421890258789063,5.861595153808594,36.79512405395508,6.795219421386719,10.28045654296875,13.393936157226563,19.38390350341797,152271.29956054688,15357.816101074219,198964.99090576172,12954.20166015625,16919126016,26843545600,7171719168,0
200,1776037437163,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.5466461181640625,2.9936981201171875,38.691307067871094,29.228439331054688,9.741432189941406,8.152763366699219,10.079734802246094,50.50933074951172,17.381988525390625,38.56596755981445,15.933944702148438,42.0695686340332,152271.51904296875,15372.258178710938,198979.1216430664,12954.20166015625,16919126016,26843545600,7203835904,0
200,1776037437363,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.8660507202148438,4.710121154785156,58.85634994506836,17.16071319580078,7.1246337890625,5.729011535644531,7.051063537597656,36.860477447509766,9.074287414550781,28.685775756835938,19.3974609375,25.889297485351563,152271.7286376953,15386.525939941406,198993.0439453125,12954.202819824219,16919126016,26843545600,7217307648,0
200,1776037437564,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.386749267578125,1.5746078491210938,54.67713165283203,3.4289321899414063,7.9537506103515625,1.3857345581054688,4.121376037597656,27.45374298095703,6.570808410644531,7.8451385498046875,17.202293395996094,17.060989379882813,152271.9086303711,15397.151611328125,199003.27197265625,12954.202819824219,16919126016,26843545600,7165386752,0
199,1776037437764,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.6634521484375,3.1940078735351563,50.01936340332031,23.902183532714844,12.273033142089844,4.811126708984375,8.359291076660156,50.300758361816406,13.815696716308594,36.25526428222656,17.706886291503906,33.44983673095703,152272.11669921875,15411.281188964844,199017.10815429688,12954.204162597656,16919126016,26843545600,7193845760,0
199,1776037437964,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.346954345703125,3.3455581665039063,53.678260803222656,23.611061096191406,9.35223388671875,5.848640441894531,4.6172637939453125,38.29032516479492,10.471549987792969,32.697540283203125,22.509628295898438,27.439208984375,152272.33660888672,15425.565185546875,199031.01544189453,12954.205322265625,16919126016,26843545600,7210029056,0
200,1776037438164,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.586181640625,1.8266830444335938,67.85994720458984,6.900230407714844,9.227645874023438,2.0526580810546875,3.94012451171875,26.33685302734375,8.480751037597656,13.002731323242188,11.401870727539063,23.59471893310547,152272.5242919922,15437.166381835938,199042.2944946289,12954.205322265625,16919126016,26843545600,7165964288,0
200,1776037438365,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.528350830078125,3.4380950927734375,47.30107498168945,23.27922821044922,1.6455535888671875,6.7642364501953125,6.213539123535156,51.51547622680664,15.998786926269531,33.324378967285156,24.176223754882813,32.47685241699219,152272.72717285156,15450.937255859375,199055.66522216797,12954.205322265625,16919126016,26843545600,7197261824,0
200,1776037438565,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.419769287109375,4.477256774902344,56.67776870727539,18.61473846435547,5.799476623535156,7.556610107421875,4.191215515136719,42.05851364135742,11.231948852539063,29.193389892578125,21.560455322265625,25.185874938964844,152272.94262695313,15465.845336914063,199070.23754882813,12954.20654296875,16919126016,26843545600,7220772864,0
200,1776037438766,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.3794174194335938,1.6888961791992188,56.246334075927734,4.604911804199219,13.82122802734375,0.46994781494140625,4.7008056640625,22.5587158203125,8.3172607421875,11.000648498535156,9.027114868164063,16.060401916503906,152273.12310791016,15476.576843261719,199080.6021118164,12954.20654296875,16919126016,26843545600,7164649472,0
